0.12967,0.25214,1
0.34158,0.50269,
0.65493,0.92628,
0.91903,0.9264,
0.97967,0.95739,5
0.93304,0.69748,
0.87818,0.55887,
0.65753,0.24204,
0.49014,0.13111,
0.3484,0.016299,10
0.15262,0,
0,0.0030213,
0.13332,0.25793,
0.32749,0.47294,
0.56805,0.76592,15
0.86123,0.9822,
0.89627,0.85227,
0.94039,0.64245,
0.71518,0.18172,
0.52438,0.11992,20
0.32332,0.058437,
0.32007,0.12769,
0.19665,0.024847,
0.1574,0.075422,
0.10409,0.23462,25
0.38676,0.54564,
0.69925,0.88234,
0.81852,0.89999,
1,0.86398,
0.94203,0.71341,30
0.87183,0.60316,
0.6905,0.29392,
0.46027,0.077673,
0.34072,0.058892,
0.23133,0.01974,35
0.06256,0.070162,
0.16941,0.2659,
0.30496,0.58407,
0.55696,0.74809,
0.87441,1,40
0.94587,0.85061,
0.8558,0.51819,
0.68891,0.23736,
0.48384,0.082034,
0.39368,0.16487,45
0.2675,0.044462,
0.16547,0.12116,
0.11908,0.098805,
