0,0.0499989
0,0.0499989
0.140625,0.0499989
0.28125,0.0499988
0.375,0.0499984
0.546875,0.0499964
0.6875,0.0499863
0.84375,0.0499372
0.96875,0.0497259
1.14063,0.0490384
1.28125,0.0467144
1.48438,0.0443994
1.71875,0.0446158
1.92188,0.0444423
2.125,0.0432477
2.35938,0.0426036
2.5625,0.042113
2.79688,0.0419733
2.98438,0.0416814
3.20313,0.0413389
3.39063,0.0411473
3.59375,0.0410489
3.8125,0.0404167
4,0.0401026
4.1875,0.0398171
4.35938,0.0395789
4.57813,0.0395201
4.79688,0.039226
4.96875,0.0389818
5.20313,0.038819
5.45313,0.0384178
5.65625,0.038197
5.875,0.0374621
6.07813,0.0373031
6.25,0.0369576
6.4375,0.0365221
6.65625,0.0359867
6.85938,0.0358966
7.0625,0.0351931
7.25,0.0348633
7.45313,0.0341421
7.65625,0.0335009
7.89063,0.0328073
8.09375,0.0321579
8.28125,0.0313436
8.5,0.0306278
8.71875,0.0299372
8.9375,0.0295118
9.14063,0.0290536
9.32813,0.0285511
9.51563,0.0283861
9.75,0.0280268
9.98438,0.0279183
10.1875,0.0275579
10.4063,0.0272799
10.5938,0.0268351
10.8125,0.02674
11,0.026193
11.2031,0.0258713
11.4063,0.0256351
11.625,0.0255451
11.8438,0.0254115
12.0625,0.0253875
12.2656,0.0253358
12.4531,0.0253114
12.6563,0.0252864
